Image,Cell,Area,Perimeter,Major_diameter,Minor_diameter,Angle,Circularity,Aspect_ratio,Round,Solidity,Budded
16,1,7.778,10.417,3.544,2.795,44.548,0.901,1.268,0.789,0.971,FALSE
16,2,13.169,13.562,4.423,3.791,87.837,0.9,1.167,0.857,0.977,FALSE
16,3,12.02,14.932,5.098,3.002,44.862,0.677,1.698,0.589,0.913,TRUE
16,4,10.909,15.369,5.503,2.524,46.714,0.58,2.18,0.459,0.888,TRUE
17,1,11.91,12.928,4.243,3.574,46.287,0.895,1.187,0.842,0.973,FALSE
17,2,7.863,10.509,3.435,2.914,167.832,0.895,1.179,0.848,0.967,FALSE
17,3,11.002,12.529,4.333,3.233,96.264,0.881,1.34,0.746,0.973,FALSE
17,4,12.582,13.715,4.297,3.728,176.568,0.841,1.152,0.868,0.958,FALSE
18,1,6.012,9.108,3.076,2.488,100.594,0.911,1.236,0.809,0.97,FALSE
18,2,10.968,12.468,4.252,3.285,138.982,0.887,1.294,0.773,0.973,FALSE
18,3,6.773,9.837,3.388,2.545,143.433,0.88,1.331,0.751,0.962,FALSE
18,4,8.289,10.899,3.74,2.822,104.653,0.877,1.326,0.754,0.969,FALSE
18,5,16,17.091,5.868,3.471,74.246,0.688,1.69,0.592,0.923,TRUE
18,6,12.058,15.896,5.092,3.015,164.559,0.6,1.689,0.592,0.878,FALSE
18,7,16.405,19.193,7.31,2.857,77.062,0.56,2.558,0.391,0.888,TRUE
19,1,8.112,10.639,3.551,2.909,169.291,0.901,1.221,0.819,0.971,FALSE
19,2,8.032,10.677,3.589,2.849,105.471,0.885,1.26,0.794,0.966,FALSE
19,3,9.764,11.809,3.956,3.143,91.785,0.88,1.259,0.794,0.963,FALSE
19,4,8.255,10.861,3.793,2.771,33.837,0.879,1.369,0.731,0.969,FALSE
19,5,9.126,11.451,3.734,3.112,19.511,0.875,1.2,0.833,0.956,FALSE
19,6,7.833,10.639,3.707,2.691,122.924,0.87,1.378,0.726,0.964,FALSE
19,7,7.656,10.617,3.922,2.485,137.946,0.853,1.578,0.634,0.97,FALSE
19,8,8.784,11.419,4.212,2.655,169.448,0.846,1.586,0.63,0.971,FALSE
19,9,8.986,11.641,4.249,2.693,73.321,0.833,1.578,0.634,0.967,FALSE
19,10,8.146,11.09,4.082,2.54,2.328,0.832,1.607,0.622,0.969,FALSE
19,11,8.386,11.267,3.994,2.674,158.699,0.83,1.494,0.67,0.964,FALSE
19,12,6.118,9.751,3.205,2.431,55.542,0.808,1.318,0.759,0.939,FALSE
19,13,9.937,13.195,4.241,2.983,167.782,0.717,1.422,0.703,0.904,TRUE
19,14,13.824,17.525,5.925,2.971,151.084,0.566,1.994,0.501,0.866,TRUE
19,15,22.81,22.718,8.514,3.411,166.961,0.555,2.496,0.401,0.877,TRUE
19,16,19.152,23.238,8.067,3.023,135.361,0.446,2.669,0.375,0.792,TRUE
20,1,8.708,11.083,3.479,3.187,159.14,0.891,1.092,0.916,0.969,FALSE
20,2,9.844,11.879,4.135,3.032,20.557,0.877,1.364,0.733,0.971,FALSE
20,3,8.699,11.191,3.834,2.889,83.1,0.873,1.327,0.754,0.97,FALSE
20,4,6.777,9.92,3.567,2.419,126.133,0.865,1.475,0.678,0.967,FALSE
20,5,9.506,12.034,4.295,2.818,45.264,0.825,1.524,0.656,0.959,FALSE
21,1,4.935,8.205,2.665,2.357,42.627,0.921,1.131,0.885,0.967,FALSE
21,2,7.922,10.57,3.695,2.73,2.691,0.891,1.354,0.739,0.972,FALSE
21,3,11.711,12.912,4.254,3.506,160.209,0.883,1.213,0.824,0.967,FALSE
21,4,7.36,10.31,3.494,2.682,151.579,0.87,1.303,0.767,0.965,FALSE
21,5,10.376,12.269,4.351,3.036,1.842,0.866,1.433,0.698,0.972,FALSE
21,6,9.062,11.489,4.114,2.805,67.652,0.863,1.467,0.682,0.968,FALSE
21,7,7.736,10.715,3.952,2.493,112.444,0.847,1.585,0.631,0.97,FALSE
21,8,5.653,9.46,3.45,2.086,115.941,0.794,1.654,0.605,0.939,FALSE
21,9,15.032,18.834,5.878,3.256,33.163,0.533,1.805,0.554,0.865,TRUE
